Player,Zone,Passes_Sent,Passes_Received,Total_Passes,In_Degree,Out_Degree,Betweenness
74891,Defensive,10,8,18,0.4,0.4666666666666667,0.2
456583,Neutral,9,8,17,0.4,0.4,0.1444444444444445
412148,Offensive,8,5,13,0.26666666666666666,0.4,0.13095238095238096
270437,Defensive,5,6,11,0.26666666666666666,0.26666666666666666,0.14523809523809522
608705,Defensive,4,6,10,0.4,0.26666666666666666,0.35634920634920636
654833,Neutral,3,3,6,0.13333333333333333,0.2,0.01904761904761905
274054,Neutral,2,3,5,0.2,0.13333333333333333,0.11666666666666668
429532,Defensive,2,3,5,0.13333333333333333,0.13333333333333333,0.047619047619047616
868005,Defensive,3,2,5,0.13333333333333333,0.2,0.06904761904761905
586050,Defensive,2,2,4,0.13333333333333333,0.13333333333333333,0.011904761904761906
35236,Offensive,1,2,3,0.13333333333333333,0.06666666666666667,0.14285714285714288
38465,Offensive,1,1,2,0.06666666666666667,0.06666666666666667,0.06666666666666668
202328,Defensive,1,1,2,0.06666666666666667,0.06666666666666667,0.0
411721,Unknown,0,1,1,0.06666666666666667,0.0,0.0
925293,Unknown,0,1,1,0.06666666666666667,0.0,0.0
828910,Offensive,1,0,1,0.0,0.06666666666666667,0.0
