PlayerID,Position,Passes_Sent,Passes_Received,Total_Passes,Out_Degree,In_Degree,Betweenness
608705,D,15,17,32,0.2777777777777778,0.2777777777777778,0.2107843137254902
693005,D,17,15,32,0.2777777777777778,0.2222222222222222,0.11601307189542484
145354,D,16,15,31,0.2777777777777778,0.2222222222222222,0.09477124183006536
868005,F,7,12,19,0.1111111111111111,0.2777777777777778,0.08496732026143791
746342,F,6,11,17,0.1111111111111111,0.2222222222222222,0.059368191721132904
270437,D,10,7,17,0.16666666666666666,0.05555555555555555,0.0
38465,F,10,6,16,0.2222222222222222,0.16666666666666666,0.1503267973856209
654833,F,5,11,16,0.1111111111111111,0.2777777777777778,0.08714596949891067
586050,F,9,5,14,0.2222222222222222,0.1111111111111111,0.057734204793028314
35236,F,7,6,13,0.16666666666666666,0.16666666666666666,0.1388888888888889
274054,F,6,6,12,0.1111111111111111,0.1111111111111111,0.09368191721132897
74891,D,6,4,10,0.1111111111111111,0.1111111111111111,0.06372549019607843
925293,F,7,2,9,0.16666666666666666,0.05555555555555555,0.09041394335511983
202328,F,2,3,5,0.05555555555555555,0.05555555555555555,0.04575163398692811
429532,D,0,4,4,0.0,0.05555555555555555,0.0
637101,F,4,0,4,0.1111111111111111,0.0,0.0
428676,F,0,4,4,0.0,0.1111111111111111,0.0
885564,G,3,0,3,0.05555555555555555,0.0,0.0
456583,D,0,2,2,0.0,0.05555555555555555,0.0
