PlayerID,Position,Passes_Sent,Passes_Received,Total_Passes,Out_Degree,In_Degree,Betweenness
395974,D,70,90,160,0.5,0.5909090909090909,0.016305916305916306
30442,D,79,77,156,0.8181818181818182,0.6818181818181819,0.09595959595959597
924379,F,81,57,138,0.4545454545454546,0.4090909090909091,0.005591630591630591
902852,F,51,66,117,0.5,0.4090909090909091,0.022258297258297262
338142,F,45,55,100,0.36363636363636365,0.5,0.013600288600288599
492212,D,52,41,93,0.5909090909090909,0.4545454545454546,0.16807359307359304
399254,D,37,42,79,0.3181818181818182,0.4090909090909091,0.08391053391053391
862010,F,43,36,79,0.4090909090909091,0.4090909090909091,0.04906204906204906
149460,F,41,35,76,0.5,0.36363636363636365,0.03354978354978355
862388,D,40,36,76,0.4545454545454546,0.4090909090909091,0.09613997113997114
69141,F,39,29,68,0.5,0.5,0.08311688311688313
501734,F,39,25,64,0.36363636363636365,0.2727272727272727,0.009632034632034632
479215,D,29,31,60,0.4090909090909091,0.4090909090909091,0.06771284271284271
715926,D,24,33,57,0.2727272727272727,0.36363636363636365,0.060064935064935064
691907,F,23,27,50,0.2727272727272727,0.2727272727272727,0.03650793650793651
38871,F,21,29,50,0.2727272727272727,0.36363636363636365,0.04022366522366523
154909,F,12,22,34,0.2272727272727273,0.3181818181818182,0.03582251082251082
597353,F,9,9,18,0.13636363636363635,0.18181818181818182,0.02308802308802309
914611,F,7,8,15,0.13636363636363635,0.18181818181818182,0.029040404040404044
890983,G,13,0,13,0.13636363636363635,0.0,0.0
939179,D,5,4,9,0.09090909090909091,0.045454545454545456,0.0
1338,F,0,6,6,0.0,0.13636363636363635,0.0
884309,F,2,4,6,0.045454545454545456,0.09090909090909091,0.0
