gameid,period,pass_time,sender_id,sender_team,pass_position,receiver_id,receiver_position,time_diff,pass_type,manpower,score_diff,pass_x,pass_y,reception_x,reception_y,pass_zone,reception_zone
64765,1,0.06666667,23843,628,F,367178,D,0.5333333299999999,south,evenStrength,0,-0.197929382324219,0.25,-23.8361663818359,-8.80294036865234,Neutral,Neutral
64765,1,3.1666667,367178,628,D,496519,D,0.6999998999999999,d2d,evenStrength,0,-40.9361686706543,-22.8852939605713,-55.0185203552246,9.80588150024414,Defensive,Defensive
64765,1,5.5666666,496519,628,D,367178,D,0.9333334000000004,d2d,evenStrength,0,-60.0479316711426,28.4147033691406,-65.5802841186523,-5.78529357910156,Defensive,Defensive
64765,1,7.633333,367178,628,D,23843,F,0.6333330000000004,stretch,evenStrength,0,-51.497932434082,-4.77941131591797,12.8785400390625,-38.9794120788574,Defensive,Neutral
64765,1,12.066667,141486,503,F,880966,F,0.699999,north,evenStrength,0,-18.9138336181641,39.4823532104492,8.24498748779297,24.3941173553467,Neutral,Neutral
64765,1,15.3,578487,628,G,304943,F,0.6333329999999986,outlet,evenStrength,0,-80.6685180664062,-18.3588237762451,-54.012638092041,-39.985294342041,Defensive,Defensive
64765,1,17.933332,693930,503,D,141486,F,0.6333359999999999,north,evenStrength,0,39.4273452758789,40.4882354736328,45.9655799865723,40.4882354736328,Offensive,Offensive
64765,1,19.466667,141486,503,F,693930,D,1.066665999999998,southoffboards,evenStrength,0,48.4802856445313,39.985294342041,30.3744049072266,37.470588684082,Offensive,Offensive
64765,1,29.6,74574,503,F,25248,D,0.9333329999999975,d2d,evenStrength,0,-34.5050048828125,29.9264717102051,-46.0726623535156,-17.3499984741211,Defensive,Defensive
64765,1,37.333332,389063,503,F,25248,D,0.7000010000000003,d2d,evenStrength,0,-36.0138397216797,-40.4852905273438,-54.6226501464844,-39.9823532104492,Defensive,Defensive
64765,1,38.2,25248,503,D,320957,D,0.8333329999999961,d2d,evenStrength,0,-55.1255950927734,-36.4617614746094,-77.2550048828125,0.755882263183594,Defensive,Defensive
64765,1,40.466667,320957,503,D,389063,F,1.0,outlet,evenStrength,0,-68.7050018310547,17.8558826446533,-22.4344177246094,-30.4264678955078,Defensive,Neutral
64765,1,64.46667,782664,628,F,796627,F,1.5999960000000044,outlet,evenStrength,0,-45.4705276489258,38.4804992675781,-37.9264106750488,-21.3695030212402,Defensive,Defensive
64765,1,66.1,796627,628,F,703734,D,1.2666700000000048,d2d,evenStrength,0,-37.9264106750488,-21.3695030212402,-71.1205291748047,-16.3400917053223,Defensive,Defensive
64765,1,76.6,703734,628,D,957949,F,0.5333300000000065,outlet,evenStrength,0,-77.6587600708008,-6.78421020507813,-45.9655799865723,-38.4764709472656,Defensive,Defensive
64765,1,84.53333,598017,503,F,511850,F,0.9666699999999935,outlet,evenStrength,0,-56.1314849853516,20.3705883026123,-23.440299987793,21.3764705657959,Defensive,Neutral
64765,1,92.8,598017,503,F,3467,D,1.3333300000000037,southoffboards,evenStrength,0,91.7332229614258,-22.8823547363281,41.9420509338379,-35.4558792114258,Offensive,Offensive
64765,1,95.0,3467,503,D,888156,F,1.7000000000000028,northoffboards,evenStrength,0,40.4332275390625,-38.9764709472656,97.7685165405273,-19.8647079467773,Offensive,Offensive
64765,1,98.96667,888156,503,F,511850,F,0.566660000000013,slot,evenStrength,0,56.52734375,-38.4735260009766,55.5214614868164,-22.8823547363281,Offensive,Offensive
64765,1,101.9,578487,628,G,660523,F,1.6999999999999886,d2doffboards,evenStrength,0,-87.2146453857422,6.29226303100586,-95.7646484375,26.4099044799805,Defensive,Defensive
64765,1,105.0,660523,628,F,825454,D,1.5,d2d,evenStrength,0,-81.6822891235352,35.4628524780273,-90.735237121582,27.9187316894531,Defensive,Defensive
64765,1,106.53333,825454,628,D,766882,D,1.0333359999999914,outlet,evenStrength,0,-90.735237121582,27.9187316894531,-55.5293502807617,-19.8606796264648,Defensive,Defensive
64765,1,109.566666,766882,628,D,957949,F,0.4333340000000021,north,evenStrength,0,-13.7852325439453,-35.9547958374023,18.4029998779297,-38.4695014953613,Neutral,Neutral
64765,1,131.03334,845179,503,D,693930,D,1.1333300000000008,d2d,evenStrength,0,-95.3608856201172,-2.26176452636719,-92.84619140625,28.4176464080811,Defensive,Defensive
64765,1,138.5,304943,628,F,23843,F,1.0333400000000097,eastwest,evenStrength,0,70.2138366699219,-40.4882354736328,86.3079528808594,22.3794097900391,Offensive,Offensive
64765,1,140.73334,23843,628,F,304943,F,0.6999900000000139,north,evenStrength,0,95.8638305664062,24.8941192626953,97.8755950927734,-8.80294036865234,Offensive,Offensive
64765,1,145.36667,304943,628,F,496519,D,1.8999900000000025,southoffboards,evenStrength,0,98.8814849853516,11.8176460266113,31.4873657226562,33.4441146850586,Offensive,Offensive
64765,1,149.36667,141486,503,F,25248,D,0.5,d2d,evenStrength,0,-70.2138366699219,-21.8764724731445,-78.2608947753906,-20.8705902099609,Defensive,Defensive
64765,1,156.33333,242998,503,F,25248,D,1.0333400000000097,south,evenStrength,0,12.7714614868164,-38.9764709472656,-22.9373626708984,-34.9529418945312,Neutral,Neutral
